Company,FinancialYear,Altman_Z_Score,Z_Score_Zone,Beneish_M_Score,Beneish_Red_Flag,Current_Ratio,Asset_Turnover,Debt_To_Equity,liquidity_ratio_confidence,cogs_confidence
Campus Activewear,FY24,2.8393593124630714,Grey,-2.9756597755369327,No,1.9521777155850968,1.2986003389313798,0.2727802841972808,approximate,approximate
Campus Activewear,FY25,2.693185260299588,Grey,-2.100577512318894,No,1.6955983372151302,1.1995451704481277,0.3070283274510582,approximate,approximate
Campus Activewear,FY26,2.937295759410682,Safe,,N/A,1.8663710819631756,1.2091958096770015,0.2605903448275862,approximate,approximate
Khadim India,FY18,3.09031144408186,Safe,,N/A,1.7622478386167146,1.5290717859695702,0.2550560542292078,approximate,approximate
Khadim India,FY19,2.7815040554916415,Grey,-1.8057235135360072,No,1.9446077470768828,1.4535831211349581,0.37904543400424107,approximate,approximate
Khadim India,FY20,1.6907210860993782,Grey,-2.760065025857662,No,1.662761365547396,1.105102654411133,1.2272805139186296,approximate,approximate
Khadim India,FY21,1.443966285629847,Grey,-2.607742249891474,No,1.431492070342,0.9931640470110548,1.2152490917234857,approximate,approximate
Khadim India,FY22,1.623287888560648,Grey,-1.9663246902169356,No,1.5498508946322067,0.9077338902881014,1.16701984203429,approximate,approximate
Khadim India,FY23,1.7265535287531808,Grey,-2.086281953829017,No,1.91195,0.8981540679879749,1.3745562655307064,approximate,approximate
Khadim India,FY24,1.4265219787735939,Grey,-2.3792722940421496,No,2.309748978400467,0.5825873026720426,1.3370313216832799,approximate,approximate
Khadim India,FY25,1.3897072644903092,Grey,-2.382092465259632,No,2.104327954481858,0.5491074360624729,1.1730509417468011,approximate,approximate
Khadim India,FY26,1.5195204526392376,Grey,,N/A,2.4983131421561113,0.6715080119997074,1.4909341152534261,approximate,approximate
